username,password
admin,SilentIronRiver49
deploy01,CrimsonDeployCloud27
ops.mike,WinterOpsFalcon82
backup_srv,SecureBackupHarbor64
sys.maria,GoldenSystemTrail91
webadmin,WebControlStone58
alex_ops,ServerAlexShield73
monitoring,MonitorDeepSignal44
support_it,SupportDeskAtlas86
data.admin,DataVaultNorthern29
appuser,AppGatewayNimbus61
infra.john,InfraBridgeJohn52
svc_web,WebServiceOrbit95
qa_user,QualityTestBeacon38
buildbot,BuildPipelineForge77
release,ReleaseCycleNova63
log_admin,LogArchiveSummit84
netops,NetworkOpsCedar19
db_user,DatabaseUserEcho56
cloudops,CloudOpsHorizon88
maint_user,MaintenancePath41
svc_api,ApiServiceVector92
ops_backup,OpsBackupAnchor67
staging,StagingLayerRiver35
it.admin,AdminConsoleField74
john.smith,SmithAccessHarbor81
maria-garcia,MariaSystemForest26
alex.brown,AlexBrownPlatform59
taylor-j,TaylorTempAccess93
luca.rossi,LucaRossiNetwork68
ivanov-a,IvanovAdminGate47
emma.wilson,EmmaWilsonStorage85
khan.m,KhanServerMatrix62
perez-j,PerezAccountTrail39
schmidt_k,SchmidtCoreAccess71
